date,state,crop,price
01-02-2023,Maharashtra,Rice,1991.08
01-01-2025,Gujarat,Pulses,5774.1
01-07-2020,Haryana,Cotton,6038.67
01-04-2023,Madhya Pradesh,Maize,1740.83
01-10-2028,Tamil Nadu,Maize,1765.68
01-06-2027,Uttar Pradesh,Maize,1901.68
01-05-2027,Tamil Nadu,Barley,2008.51
01-10-2025,Karnataka,Groundnut,6191.67
01-02-2021,Uttar Pradesh,Cotton,6425.35
01-08-2028,Haryana,Barley,1949.45
01-07-2028,Maharashtra,Maize,1850.52
01-01-2022,Maharashtra,Rice,1934.8
01-11-2020,Karnataka,Mustard,4708.59
01-11-2023,Tamil Nadu,Maize,1619.26
01-02-2020,Gujarat,Soybean,3624.92
01-06-2020,Tamil Nadu,Rice,1896.18
01-10-2026,Madhya Pradesh,Pulses,5618.01
01-03-2024,Karnataka,Maize,1779.79
01-04-2020,Tamil Nadu,Maize,1566.71
01-04-2026,Rajasthan,Rice,2240.62
01-09-2025,Bihar,Mustard,5384.03
01-07-2025,Punjab,Cotton,7095.47
01-01-2023,Karnataka,Sugarcane,333.11
01-09-2020,Rajasthan,Barley,1535.16
01-11-2026,Tamil Nadu,Wheat,2274.22
01-11-2021,Madhya Pradesh,Maize,1502.9
01-08-2023,Madhya Pradesh,Maize,1635.94
01-09-2026,Bihar,Wheat,2295.0
01-09-2028,Punjab,Sugarcane,365.38
01-08-2025,Haryana,Groundnut,6213.45
01-11-2021,Gujarat,Cotton,5992.89
01-04-2020,Haryana,Soybean,3661.93
01-09-2024,Haryana,Pulses,5443.84
01-12-2021,Rajasthan,Maize,1538.47
01-11-2023,Maharashtra,Maize,1590.37
01-04-2023,Uttar Pradesh,Barley,1811.38
01-03-2020,Haryana,Barley,1690.74
01-12-2020,Rajasthan,Groundnut,5463.21
01-11-2026,Karnataka,Mustard,5520.28
01-09-2022,Tamil Nadu,Soybean,3583.34
01-08-2020,Karnataka,Mustard,4772.31
01-02-2027,Rajasthan,Wheat,2460.0
01-04-2027,Haryana,Soybean,4418.2
01-07-2022,Haryana,Pulses,5350.74
01-04-2021,Bihar,Rice,1937.31
01-12-2026,Bihar,Cotton,6973.34
01-12-2024,Bihar,Mustard,5315.29
01-03-2028,Haryana,Mustard,6204.25
01-04-2021,Karnataka,Cotton,6580.58
01-07-2022,Rajasthan,Soybean,3757.39
01-11-2024,Gujarat,Barley,1759.6
01-06-2026,Uttar Pradesh,Rice,2195.37
01-05-2021,Maharashtra,Soybean,3800.74
01-11-2026,Bihar,Cotton,6945.76
01-06-2021,Madhya Pradesh,Wheat,2162.87
01-07-2020,Punjab,Groundnut,5654.14
01-09-2023,Karnataka,Cotton,6447.28
01-02-2022,Haryana,Mustard,5232.0
01-12-2026,Rajasthan,Rice,2119.13
01-12-2024,Karnataka,Mustard,5393.23
01-05-2026,Punjab,Mustard,5854.38
01-11-2021,Punjab,Maize,1503.12
01-03-2021,Haryana,Mustard,5105.11
01-07-2024,Haryana,Sugarcane,340.48
01-03-2024,Maharashtra,Rice,2081.38
01-08-2020,Rajasthan,Rice,1753.41
01-06-2020,Gujarat,Wheat,2068.35
01-07-2026,Gujarat,Cotton,7209.45
01-12-2025,Gujarat,Sugarcane,346.08
01-01-2025,Tamil Nadu,Mustard,5596.54
01-08-2025,Haryana,Barley,1813.91
01-12-2027,Bihar,Maize,1778.87
01-11-2027,Madhya Pradesh,Sugarcane,351.43
01-11-2025,Uttar Pradesh,Barley,1824.52
01-11-2025,Madhya Pradesh,Groundnut,6252.4
01-03-2027,Madhya Pradesh,Sugarcane,384.73
01-06-2020,Karnataka,Sugarcane,309.58
01-02-2020,Maharashtra,Wheat,2076.38
01-05-2026,Gujarat,Pulses,6186.56
01-03-2021,Punjab,Cotton,6534.35
01-11-2028,Uttar Pradesh,Wheat,2388.15
01-03-2023,Maharashtra,Cotton,6985.78
01-12-2021,Gujarat,Soybean,3614.04
01-04-2028,Maharashtra,Cotton,7779.73
01-02-2021,Gujarat,Rice,1903.1
01-04-2021,Bihar,Soybean,3812.66
01-11-2020,Tamil Nadu,Soybean,3466.97
01-02-2026,Haryana,Maize,1818.22
01-11-2024,Karnataka,Mustard,5346.83
01-11-2020,Maharashtra,Soybean,3442.57
01-11-2024,Bihar,Barley,1756.48
01-10-2028,Bihar,Cotton,7271.88
01-08-2022,Gujarat,Wheat,2106.67
01-06-2027,Karnataka,Mustard,6022.86
01-10-2026,Punjab,Mustard,5468.03
01-01-2021,Madhya Pradesh,Rice,1822.65
01-09-2025,Gujarat,Groundnut,6249.55
01-01-2021,Madhya Pradesh,Cotton,6108.9
01-02-2022,Maharashtra,Maize,1638.59
01-07-2022,Rajasthan,Rice,1915.78
01-06-2027,Madhya Pradesh,Soybean,4304.27
01-06-2026,Uttar Pradesh,Pulses,6124.89
01-09-2027,Madhya Pradesh,Soybean,4151.93
01-07-2024,Tamil Nadu,Soybean,3974.9
01-12-2028,Haryana,Rice,2260.46
01-01-2020,Uttar Pradesh,Barley,1588.4
01-07-2021,Madhya Pradesh,Rice,1868.49
01-04-2027,Haryana,Pulses,6492.23
01-07-2028,Gujarat,Barley,2029.86
01-01-2022,Maharashtra,Wheat,2158.35
01-03-2023,Rajasthan,Groundnut,6236.92
01-01-2027,Tamil Nadu,Sugarcane,366.33
01-06-2023,Karnataka,Mustard,5431.9
01-04-2028,Madhya Pradesh,Mustard,6236.55
01-09-2027,Karnataka,Mustard,5538.98
01-12-2028,Punjab,Pulses,6172.98
01-04-2024,Karnataka,Barley,1871.89
01-09-2025,Madhya Pradesh,Barley,1785.68
01-03-2024,Bihar,Cotton,7158.17
01-07-2020,Uttar Pradesh,Wheat,2051.79
01-10-2024,Uttar Pradesh,Maize,1639.28
01-09-2025,Punjab,Sugarcane,336.36
01-08-2026,Tamil Nadu,Soybean,4158.66
01-11-2020,Gujarat,Sugarcane,294.0
01-06-2020,Punjab,Maize,1562.64
01-01-2020,Haryana,Groundnut,5582.7
01-03-2027,Madhya Pradesh,Cotton,7704.1
01-05-2027,Bihar,Groundnut,7060.53
01-11-2028,Tamil Nadu,Maize,1797.6
01-12-2025,Punjab,Mustard,5486.8
01-05-2024,Madhya Pradesh,Mustard,5712.18
01-11-2023,Rajasthan,Maize,1602.3
01-04-2023,Haryana,Barley,1840.62
01-06-2020,Gujarat,Soybean,3694.27
01-11-2021,Maharashtra,Rice,1784.83
01-04-2027,Punjab,Maize,1926.67
01-01-2027,Uttar Pradesh,Wheat,2451.53
01-04-2022,Uttar Pradesh,Mustard,5272.94
01-12-2025,Maharashtra,Soybean,3941.01
01-05-2026,Madhya Pradesh,Maize,1826.35
01-11-2021,Rajasthan,Rice,1839.5
01-01-2021,Maharashtra,Soybean,3672.83
01-11-2020,Karnataka,Barley,1559.49
01-06-2021,Gujarat,Soybean,3733.22
01-04-2023,Gujarat,Mustard,5563.96
01-02-2027,Madhya Pradesh,Wheat,2528.67
01-08-2024,Haryana,Rice,2000.47
01-01-2025,Maharashtra,Barley,1808.76
01-09-2024,Punjab,Barley,1724.1
01-11-2024,Karnataka,Barley,1749.92
01-08-2021,Rajasthan,Pulses,5150.05
01-12-2028,Rajasthan,Wheat,2465.71
01-03-2022,Maharashtra,Wheat,2190.75
01-06-2022,Madhya Pradesh,Wheat,2172.66
01-03-2023,Karnataka,Soybean,4027.63
01-04-2025,Bihar,Mustard,5918.7
01-10-2022,Karnataka,Groundnut,5684.08
01-11-2021,Bihar,Groundnut,5477.18
01-07-2021,Bihar,Barley,1649.71
01-06-2021,Rajasthan,Cotton,6302.78
01-12-2025,Karnataka,Mustard,5499.56
01-12-2025,Rajasthan,Soybean,4049.69
01-05-2028,Rajasthan,Maize,1954.52
01-07-2028,Bihar,Groundnut,6888.39
01-12-2025,Maharashtra,Pulses,5751.89
01-07-2023,Punjab,Maize,1629.82
01-01-2021,Punjab,Barley,1662.02
01-01-2021,Haryana,Cotton,6167.16
01-03-2026,Madhya Pradesh,Cotton,7395.24
01-02-2023,Tamil Nadu,Maize,1697.57
01-12-2025,Karnataka,Sugarcane,342.4
01-04-2028,Rajasthan,Soybean,4584.15
01-08-2020,Haryana,Pulses,4877.81
01-06-2023,Bihar,Wheat,2252.81
01-05-2023,Punjab,Rice,2060.56
01-12-2028,Gujarat,Sugarcane,372.27
01-06-2027,Madhya Pradesh,Mustard,5977.92
01-08-2027,Rajasthan,Barley,1900.44
01-06-2021,Gujarat,Rice,1944.71
01-03-2020,Karnataka,Wheat,2058.85
01-01-2025,Madhya Pradesh,Maize,1748.71
01-10-2023,Uttar Pradesh,Soybean,3739.31
01-05-2024,Karnataka,Mustard,5650.69
01-05-2025,Gujarat,Cotton,7201.72
01-10-2022,Bihar,Maize,1557.53
01-06-2023,Punjab,Rice,2054.19
01-02-2021,Uttar Pradesh,Groundnut,5859.14
01-04-2027,Gujarat,Barley,2039.86
01-07-2028,Karnataka,Pulses,6274.82
01-06-2026,Haryana,Sugarcane,360.8
01-03-2022,Uttar Pradesh,Maize,1693.58
01-09-2024,Maharashtra,Cotton,6569.29
01-03-2026,Rajasthan,Groundnut,6885.91
01-09-2023,Haryana,Barley,1722.54
01-06-2022,Bihar,Groundnut,6138.89
01-02-2022,Tamil Nadu,Soybean,3764.73
01-08-2020,Maharashtra,Soybean,3469.58
01-06-2022,Gujarat,Sugarcane,326.64
01-01-2025,Tamil Nadu,Pulses,5678.12
01-12-2028,Karnataka,Wheat,2456.36
01-12-2025,Gujarat,Cotton,7002.4
01-04-2022,Tamil Nadu,Cotton,6740.11
01-02-2023,Haryana,Pulses,5611.36
01-11-2027,Bihar,Wheat,2381.75
01-01-2026,Gujarat,Mustard,5698.72
01-10-2021,Tamil Nadu,Barley,1606.35
01-01-2026,Karnataka,Cotton,7165.69
01-01-2026,Punjab,Soybean,4151.56
01-09-2025,Uttar Pradesh,Barley,1783.86
01-06-2022,Tamil Nadu,Wheat,2231.7
01-10-2020,Haryana,Rice,1735.15
01-01-2028,Maharashtra,Barley,1950.93
01-03-2025,Uttar Pradesh,Soybean,4203.43
01-05-2022,Karnataka,Rice,2047.95
01-06-2021,Tamil Nadu,Barley,1731.98
01-07-2022,Rajasthan,Mustard,5240.19
01-02-2025,Rajasthan,Soybean,4059.6
01-03-2026,Punjab,Wheat,2440.76
01-05-2027,Bihar,Cotton,7663.2
01-11-2027,Maharashtra,Soybean,4178.7
01-04-2021,Punjab,Maize,1639.43
01-05-2025,Rajasthan,Rice,2138.65
01-01-2024,Madhya Pradesh,Mustard,5392.72
01-02-2024,Maharashtra,Rice,2056.98
01-11-2024,Punjab,Groundnut,6116.75
01-08-2020,Maharashtra,Rice,1800.8
01-03-2021,Haryana,Soybean,3831.85
01-08-2020,Karnataka,Groundnut,5521.05
01-07-2022,Maharashtra,Maize,1624.36
01-12-2026,Bihar,Soybean,4042.81
01-07-2025,Karnataka,Cotton,6897.14
01-07-2025,Haryana,Mustard,5587.34
01-10-2028,Tamil Nadu,Barley,1882.64
01-08-2027,Uttar Pradesh,Cotton,7085.46
01-04-2027,Karnataka,Barley,2032.08
01-02-2024,Tamil Nadu,Groundnut,6301.23
01-02-2021,Rajasthan,Wheat,2152.3
01-11-2026,Haryana,Sugarcane,351.35
01-02-2026,Punjab,Groundnut,6722.78
01-04-2022,Rajasthan,Pulses,5511.83
01-05-2027,Tamil Nadu,Maize,1927.14
01-06-2027,Uttar Pradesh,Mustard,5938.09
01-09-2022,Tamil Nadu,Pulses,5173.91
01-12-2025,Uttar Pradesh,Pulses,5635.38
01-03-2026,Tamil Nadu,Cotton,7282.55
01-03-2025,Punjab,Sugarcane,365.41
01-03-2024,Gujarat,Sugarcane,353.75
01-01-2026,Maharashtra,Sugarcane,353.22
01-02-2024,Tamil Nadu,Barley,1844.4
01-03-2024,Rajasthan,Maize,1758.96
01-06-2027,Haryana,Rice,2273.63
01-05-2021,Uttar Pradesh,Pulses,5398.12
01-12-2026,Bihar,Wheat,2319.47
01-12-2020,Maharashtra,Cotton,5983.09
01-06-2026,Bihar,Pulses,6012.8
01-04-2028,Punjab,Soybean,4549.08
01-06-2020,Punjab,Wheat,2037.19
01-04-2022,Gujarat,Sugarcane,340.07
01-06-2027,Haryana,Groundnut,6925.33
01-01-2027,Tamil Nadu,Rice,2213.38
01-09-2024,Punjab,Wheat,2213.45
01-09-2027,Maharashtra,Groundnut,6528.63
01-10-2026,Punjab,Wheat,2306.54
01-08-2024,Rajasthan,Groundnut,6136.09
01-12-2024,Punjab,Wheat,2214.99
01-11-2025,Gujarat,Wheat,2219.72
01-06-2026,Punjab,Sugarcane,371.02
01-04-2023,Karnataka,Rice,2068.3
01-04-2021,Punjab,Cotton,6566.08
01-07-2027,Gujarat,Mustard,5880.81
01-07-2021,Bihar,Groundnut,5648.24
01-09-2028,Karnataka,Sugarcane,363.88
01-05-2028,Haryana,Maize,1959.82
01-09-2022,Uttar Pradesh,Soybean,3648.42
01-04-2025,Karnataka,Sugarcane,365.77
01-05-2028,Rajasthan,Rice,2308.6
01-08-2025,Karnataka,Rice,2062.82
01-04-2027,Rajasthan,Sugarcane,379.86
01-05-2020,Haryana,Barley,1706.79
01-12-2020,Punjab,Mustard,4855.27
01-08-2025,Maharashtra,Wheat,2303.37
01-05-2025,Gujarat,Mustard,5869.74
01-11-2020,Bihar,Pulses,4875.07
01-04-2024,Bihar,Mustard,5583.29
01-04-2024,Haryana,Mustard,5688.15
01-03-2021,Punjab,Groundnut,6007.98
01-02-2027,Uttar Pradesh,Sugarcane,376.22
01-01-2024,Madhya Pradesh,Groundnut,6240.97
01-01-2024,Punjab,Wheat,2271.66
01-07-2027,Gujarat,Pulses,6123.62
01-10-2027,Madhya Pradesh,Barley,1876.05
01-01-2024,Maharashtra,Rice,1976.49
01-06-2028,Uttar Pradesh,Mustard,6148.42
01-06-2020,Maharashtra,Cotton,6340.58
01-12-2021,Punjab,Soybean,3625.18
01-04-2024,Madhya Pradesh,Wheat,2378.68
01-05-2022,Bihar,Mustard,5345.27
01-05-2022,Madhya Pradesh,Pulses,5669.27
01-05-2027,Punjab,Wheat,2513.16
01-01-2024,Tamil Nadu,Sugarcane,339.35
01-06-2023,Tamil Nadu,Soybean,3942.97
01-07-2021,Madhya Pradesh,Barley,1645.89
01-01-2028,Madhya Pradesh,Barley,1988.69
01-06-2024,Gujarat,Soybean,4015.19
01-08-2024,Rajasthan,Sugarcane,331.46
01-04-2028,Rajasthan,Sugarcane,393.85
01-08-2028,Karnataka,Soybean,4270.51
01-08-2024,Rajasthan,Mustard,5315.86
01-09-2020,Bihar,Maize,1489.02
01-01-2022,Bihar,Wheat,2078.5
01-07-2022,Tamil Nadu,Mustard,5116.6
01-01-2020,Madhya Pradesh,Maize,1510.36
01-05-2026,Rajasthan,Sugarcane,371.7
01-05-2028,Rajasthan,Pulses,6514.92
01-01-2027,Maharashtra,Rice,2176.81
01-09-2026,Punjab,Rice,2029.39
01-08-2023,Haryana,Wheat,2142.62
01-10-2028,Uttar Pradesh,Cotton,7064.65
01-01-2025,Karnataka,Sugarcane,347.52
01-11-2027,Tamil Nadu,Cotton,7168.95
01-12-2022,Gujarat,Groundnut,5734.88
01-06-2027,Maharashtra,Soybean,4333.98
01-12-2021,Rajasthan,Groundnut,5613.09
01-11-2028,Karnataka,Soybean,4265.67
01-10-2023,Punjab,Cotton,6344.58
01-07-2024,Rajasthan,Rice,2009.29
01-10-2025,Maharashtra,Mustard,5399.63
01-04-2021,Maharashtra,Wheat,2192.48
01-06-2027,Tamil Nadu,Rice,2237.11
01-08-2028,Uttar Pradesh,Groundnut,6851.34
01-08-2022,Karnataka,Rice,1920.14
01-08-2028,Maharashtra,Barley,1976.23
01-08-2027,Tamil Nadu,Rice,2155.04
01-02-2024,Punjab,Barley,1864.84
01-11-2021,Madhya Pradesh,Sugarcane,306.05
01-08-2027,Bihar,Wheat,2355.06
01-11-2026,Rajasthan,Sugarcane,340.68
01-07-2023,Rajasthan,Mustard,5363.88
01-05-2028,Karnataka,Cotton,7685.31
01-12-2027,Maharashtra,Groundnut,6730.82
01-05-2027,Karnataka,Wheat,2579.66
01-07-2026,Karnataka,Barley,1901.84
01-03-2027,Karnataka,Maize,1918.89
01-05-2025,Rajasthan,Mustard,5895.74
01-10-2020,Uttar Pradesh,Groundnut,5243.09
01-04-2025,Tamil Nadu,Wheat,2478.94
01-02-2023,Gujarat,Rice,2010.9
01-10-2025,Punjab,Sugarcane,329.79
01-05-2020,Uttar Pradesh,Groundnut,5715.19
01-12-2024,Maharashtra,Rice,1986.01
01-08-2028,Uttar Pradesh,Wheat,2486.56
01-02-2028,Karnataka,Wheat,2525.16
01-01-2024,Punjab,Cotton,6628.1
01-09-2025,Gujarat,Soybean,3900.94
01-05-2028,Gujarat,Sugarcane,384.1
01-11-2024,Tamil Nadu,Soybean,3828.89
01-12-2026,Maharashtra,Wheat,2334.76
01-10-2020,Haryana,Soybean,3380.04
01-02-2022,Gujarat,Barley,1742.51
01-02-2020,Uttar Pradesh,Cotton,6283.44
01-05-2028,Bihar,Cotton,7685.72
01-07-2023,Maharashtra,Barley,1769.87
01-09-2028,Punjab,Maize,1833.41
01-01-2020,Uttar Pradesh,Mustard,4878.96
01-04-2028,Maharashtra,Wheat,2614.49
01-05-2024,Karnataka,Rice,2145.92
01-09-2022,Punjab,Maize,1546.21
01-10-2020,Karnataka,Maize,1435.27
01-03-2025,Karnataka,Cotton,7163.5
01-06-2023,Uttar Pradesh,Rice,2054.43
01-08-2020,Karnataka,Maize,1458.46
01-02-2024,Haryana,Barley,1851.12
01-05-2023,Tamil Nadu,Cotton,6748.6
01-06-2028,Rajasthan,Maize,1931.91
01-02-2027,Punjab,Mustard,6000.3
01-04-2024,Madhya Pradesh,Groundnut,6505.57
01-12-2027,Haryana,Rice,2191.17
01-02-2020,Rajasthan,Rice,1852.81
01-11-2028,Uttar Pradesh,Groundnut,6592.6
01-07-2026,Tamil Nadu,Barley,1930.31
01-05-2022,Madhya Pradesh,Groundnut,6093.43
01-11-2027,Karnataka,Groundnut,6450.23
01-07-2022,Bihar,Rice,1962.72
01-11-2026,Tamil Nadu,Soybean,3963.73
01-07-2020,Maharashtra,Soybean,3561.8
01-06-2026,Tamil Nadu,Pulses,6196.55
01-08-2024,Bihar,Wheat,2229.53
01-04-2028,Bihar,Maize,1958.75
01-05-2020,Punjab,Sugarcane,317.41
01-11-2026,Karnataka,Soybean,4037.5
01-10-2021,Rajasthan,Sugarcane,302.01
01-08-2022,Maharashtra,Maize,1553.34
01-03-2028,Punjab,Pulses,6416.88
01-08-2028,Rajasthan,Wheat,2487.3
01-04-2025,Rajasthan,Pulses,6198.33
01-04-2022,Uttar Pradesh,Sugarcane,336.95
01-05-2027,Punjab,Rice,2261.04
01-05-2027,Tamil Nadu,Cotton,7485.33
01-12-2021,Uttar Pradesh,Rice,1859.75
01-02-2027,Uttar Pradesh,Pulses,6321.95
01-05-2028,Maharashtra,Pulses,6464.72
01-12-2028,Madhya Pradesh,Soybean,4312.28
